胡青羊	hu[go qk[fo yh[bs
胡鐵花	hu[go tp[jp hx[cr
呼延十八鞭	hu[kp yj[pj ui[hu ba[pd bm[gr
呼延萬善	hu[kp yj[pj wj[hv uj[yk
胡逸之	hu[go yi[dz vi[dv
呼音克	hu[kp yb[lo ke[ge
虎爪絕戶手	hu[hj vc[pu jt[sd hu[du uz[su
虎爪手	hu[hj vc[pu uz[su
華伯斯基	hx[ru bo[rb si[qj ji[qt
化功大法	hx[rq gs[gl da[hr fa[dt
花海飄香	hx[cr hd[dr pn[xf xl[ho
華華鳳	hx[ru hx[ru fg[jy
花開見佛	hx[cr kd[hc jm[ke fo[rf
花滿樓	hx[cr mj[dc lz[am
華拳門	hx[ru qr[bf mf[du
花容雲鬢	hx[cr rs[xr yy[es bb[ig
華山劍法	hx[ru uj[uk jm[rd fa[dt
花鐵幹	hx[cr tp[jp gj[hu
花萬紫	hx[cr wj[hv zi[vy
花月樓	hx[cr yt[ke lz[am
花雲	hx[cr yy[es
華真真	hx[ru vf[uj vf[uj
幻劍式	hr[yv jm[rd ui[qg
幻魔星力	hr[yv mo[gg xk[op li[vp
幻魔星陣	hr[yv mo[gg xk[op vf[ei
幻千尋	hr[yv qm[pu xy[xc
幻小復	hr[yv xn[ub fu[ro
幻星門人	hr[yv xk[op mf[du rf[pd
幻星上人	hr[yv xk[op uh[bh rf[pd
幻陰指	hr[yv yb[eo vi[fb
幻陣	hr[yv vf[ei
黃伯流	hl[gy bo[rb lq[dw
黃二毛子	hl[gy er[hh mc[sv zi[lh
黃甫	hl[gy fu[uo
皇甫閣	hl[bw fu[uo ge[mw
黃國柏	hl[gy go[ww bd[ab
黃金魁	hl[gy jb[rw kv[gd
黃龍劍宗	hl[gy ls[yp jm[rd zs[ge
黃龍子	hl[gy ls[yp zi[lh
黃眉和尚	hl[gy mw[mm he[hk uh[xk
黃面道人	hl[gy mm[ew dc[bz rf[pd
黃泉逆流	hl[gy qr[bu ni[nz lq[dw
黃沙萬里鞭法	hl[gy ua[dx wj[hv li[ot bm[gr fa[dt
黃希節	hl[gy xi[iu jp[ce
黃鬚人	hl[gy xu[py rf[pd
