巴巴急急	ba[ku ba[ku ji[dx ji[dx
巴巴結結	ba[ku ba[ku jp[su jp[su
八拜定交	ba[pd bd[fh dk[gp jn[li
八百孤寒	ba[pd bd[eo gu[zp hj[gd
八拜之交	ba[pd bd[fh vi[dv jn[li
八拜至交	ba[pd bd[fh vi[ht jn[li
拔本塞源	ba[fu bf[ah sd[gt yr[di
把臂入林	ba[fb bi[uo ru[pd lb[aa
把臂徐去	ba[fb bi[uo xu[rr qu[ts
八病九痛	ba[pd bk[bh jq[pv ts[bs
把持不定	ba[fb ii[ft bu[eu dk[gp
罷黜百家	ba[st iu[hi bd[eo jx[gu
拔出蘿蔔帶出泥	ba[fu iu[ck lo[cs bo[ud dd[cj iu[ck ni[du
八窗玲瓏	ba[pd il[xp lk[wr ls[wy
拔叢出類	ba[fu cs[rh iu[ck lw[md
拔萃出類	ba[fu cv[cw iu[ck lw[md
拔萃出群	ba[fu cv[cw iu[ck qy[xy
八大人覺	ba[pd da[hr rf[pd jt[xj
霸道橫行	ba[yg dc[bz hg[ag xk[rh
拔刀相濟	ba[fu dc[vp xl[am ji[dw
拔刀相向	ba[fu dc[vp xl[am xl[pk
拔刀相助	ba[fu dc[vp xl[am vu[ql
拔地參天	ba[fu di[ty cj[sd tm[hd
拔地擎天	ba[fu di[ty qk[cf tm[hd
拔地搖山	ba[fu di[ty yc[fa uj[uk
拔地倚天	ba[fu di[ty yi[rd tm[hd
拔丁抽楔	ba[fu dk[hu iz[fy xp[af
疤丁解牛	ba[bb dk[hu jp[dd nq[pf
八斗陳思	ba[pd dz[du if[eq si[tx
八斗之才	ba[pd dz[du vi[dv cd[hu
把飯叫饑	ba[fb fj[up jn[kv ji[uj
八方風雨	ba[pd fh[dw fg[ji yu[hk
八方呼應	ba[pd fh[dw hu[kp yk[gx
八方來財	ba[pd fh[dw ld[hm cd[bc
八方支持	ba[pd fh[dw vi[uy ii[ft
八方支援	ba[pd fh[dw vi[uy yr[fa
八府巡按	ba[pd fu[gr xy[vz an[fg
扒高踩低	ba[fb gc[wk cd[za di[ru
巴高望上	ba[ku gc[wk wh[ww uh[bh
巴高枝兒	ba[ku gc[wk vi[au er[pv
把個煮熟的鴨子給飛了	ba[fb ge[ru vu[td uu[wd de[bb ya[on zi[lh gw[sr fw[vp le[vu
拔根汗毛比腰粗	ba[fu gf[ag hj[dg mc[sv bi[bb yc[ox cu[mq
八公山上草木皆兵	ba[pd gs[bs uj[uk uh[bh cc[co mu[ub jp[bb bk[qb
拔鍋卷席	ba[fu go[jk jr[be xi[gn
八恆河沙	ba[pd hg[xh he[dk ua[dx
八紘同軌	ba[pd hs[[ ts[kh gv[ij
跋扈飛揚	ba[zu hu[hk fw[vp yh[fv
跋胡疐尾	ba[zu hu[go vi[[ ww[um
跋扈恣睢	ba[zu hu[hk zi[dx sv[mv
跋扈自恣	ba[zu hu[hk zi[pm zi[dx
八花九裂	ba[pd hx[cr jq[pv lp[hy
八荒九垓	ba[pd hl[cw jq[pv gd[tw
八荒之外	ba[pd hl[cw vi[dv wd[xb
拔戟成一隊	ba[fu ji[ug ig[wv yi[hh dv[er
把家成人	ba[fb jx[gu ig[wv rf[pd
拔劍論功	ba[fu jm[rd ly[yr gs[gl
八角長錘	ba[pd jn[do ih[ph iv[ji
拔角脫距	ba[fu jn[do to[ob ju[zk
八街九陌	ba[pd jp[rt jq[pv mo[ee
八九不離十	ba[pd jq[pv bu[eu li[wk ui[hu
把酒持螯	ba[fb jq[dy ii[ft ao[fi
拔葵啖棗	ba[fu kv[cd dj[kh zc[cd
拔葵去織	ba[fu kv[cd qu[ts vi[sk
拔葵飲水	ba[fu kv[cd yb[ud uv[uu
跋來報去	ba[zu ld[hm bc[fe qu[ts
