哀江頭	ai[wk jl[dg tz[dd
今朝為此別	jb[rd vc[uo ww[dl ci[vb bp[kd
今朝蟢子飛	jb[rd vc[uo xi[[ zi[lh fw[vp
今之新圖有二馬	jb[rd vi[dv xb[lj tu[ww yz[uo er[hh ma[vv
近種籬邊菊	jb[jz vs[hv li[vw bm[lz ju[cb
今茲弟子亦匪盛顏	jb[rd zi[by di[bg zi[lh yi[wy fw[kf ug[wm yj[ly
金樽清酒鬥十千	jb[rw zy[ab qk[df jq[dy dz[du ui[hu qm[pu
經冬復立春	jk[ss ds[wd fu[ro li[lh iy[so
經冬猶綠林	jk[ss ds[wd yz[qy lu[sx lb[aa
驚風亂颭芙蓉水	jk[xw fg[ji lr[qv vj[[ fu[ce rs[cx uv[uu
驚呼熱中腸	jk[xw hu[kp re[fd vs[ku ih[ov
鏡湖三百里	jk[jl hu[dg sj[hh bd[eo li[ot
經歷久遠期無佗	jk[ss li[il jq[xd yr[ez qi[qo wu[ee to[rg
淨理了可悟	jk[dd li[wo le[vu ke[dk wu[xw
京洛縫春衣	jk[wk lo[dw fg[sw iy[so yi[wy
荊門九派通	jk[cd mf[du jq[pv pd[dp ts[sz
旌旆逶迤碣石間	jk[fr pw[fr ww[hz yi[rz jp[eo ui[ek jm[mo
驚破霓裳羽衣曲	jk[xw po[ep ni[yj uh[xy yu[xx yi[wy qu[ou
旌旗無光日色薄	jk[fr qi[fr wu[ee gl[xe ri[wh se[db bo[cd
井稅有常期	jk[ep uv[hb yz[uo ih[xk qi[qo
靜聽松風寒	jk[fd tk[kj ss[ab fg[ji hj[gd
驚聞俗客爭來集	jk[xw wf[me su[rb ke[gw vg[dx ld[hm ji[va
竟夕起相思	jk[lo xi[xd qi[zk xl[am si[tx
竟夕自悲秋	jk[lo xi[xd zi[pm bw[fx qq[hh
徑須沽取對君酌	jk[rs xu[py gu[dg qu[ey dv[yc jy[xk vo[yb
靜夜四無鄰	jk[fd ye[wr si[we wu[ee lb[re
經鄒魯祭孔子而嘆之	jk[ss zz[de lu[yo ji[xe ks[zv zi[lh er[ek tj[ky vi[dv
迥立閶闔生長風	js[kz li[lh ih[mo he[mt ug[pf vh[ph fg[ji
迥若寒空雜煙雪	js[kz ro[cu hj[gd ks[xg za[ja yj[hw xt[yx
九重城闕煙塵生	jq[pv is[ph ig[tw qt[mn yj[hw if[xt ug[pf
九雛鳴鳳亂啾啾	jq[pv iu[dv mk[kn fg[jy lr[qv jq[kh jq[kh
酒舫泛泛然	jq[dy fh[vf fj[dp fj[dp rj[xd
舊國見青山	jq[uo go[ww jm[ke qk[fo uj[uk
舊好隔良緣	jq[uo hc[nz ge[eh ll[dg yr[sv
九華帳裡夢魂驚	jq[pv hx[ru vh[ji li[ot mg[ax hy[eg jk[xw
啾啾棲鳥過	jq[kh jq[kh qi[ax nn[nh go[cz
鷲翎金僕姑	jq[wn lk[rx jb[rw pu[rb gu[ng
九日登望仙台呈劉明府	jq[pv ri[wh dg[dd wh[ww xm[ru td[sk ig[kw lq[wd mk[oo fu[gr
舊時王謝堂前燕	jq[uo ui[oc wh[su xp[yu th[xt qm[bo yj[nk
九天閶闔開宮殿	jq[pv tm[hd ih[mo he[mt kd[hc gs[gk dm[uj
酒徒歷歷坐洲鳥	jq[dy tu[rz li[il li[il zo[rr vz[dd nn[nh
九微片片飛花瑣	jq[pv ww[ru pm[pu pm[pu fw[vp hx[cr so[wx
久為簪組累	jq[xd ww[dl zj[vj zu[sq lw[ty
舊業已隨征戰盡	jq[uo ye[ub yi[kv sv[eu vg[rh vj[bg jb[ud
九月寒砧催木葉	jq[pv yt[ke hj[gd vf[eb cv[ru mu[ub ye[ku
九月九日憶山東兄弟	jq[pv yt[ke jq[pv ri[wh yi[xv uj[uk ds[qx xs[ke di[bg
就中雲幕椒房親	jq[wy vs[ku yy[es mu[cj jn[au fh[hf qb[la
舉杯銷愁愁更愁	ju[xf bw[ab xn[jx iz[hx iz[hx gg[ho iz[hx
舉杯邀明月	ju[xf bw[ab yc[bz mk[oo yt[ke
據湖岸	ju[fu hu[dg an[ui
俱懷逸興壯思飛	ju[rj hk[xb yi[dz xk[xb vl[du si[tx fw[vp
舉酒欲飲無管絃	ju[xf jq[dy yu[bd yb[ud wu[ee gr[vg xm[gw
詎肯感激徒媕婀	ju[yk kf[vo gj[wx ji[db tu[rz an[[ ee[ne
句奇語重喻者少	ju[bk qi[dk yu[yw vs[ph yu[kr ve[to uc[xp
居人共住武陵源	ju[ug rf[pd gs[gb vu[rd wu[hv lk[et yr[di
居人未改秦衣服	ju[ug rf[pd ww[ha gd[kw qb[sh yi[wy fu[oe
舉頭望明月	ju[xf tz[dd wh[ww mk[oo yt[ke
居閒始自遣	ju[ug xm[ma ui[ns zi[pm qm[vz
劇辛樂毅感恩分	ju[ud xb[lu yt[px yi[lj gj[wx en[wx ff[bd
鐫功勒成告萬世	jr[jv gs[gl le[gl ig[wv gc[nk wj[hv ui[nv
卷帷望月空長嘆	jr[be ww[jv wh[ww yt[ke ks[xg ih[ph tj[ky
絕代有佳人	jt[sd dd[rq yz[uo jx[rt rf[pd
覺道資無窮	jt[xj dc[bz zi[db wu[ee qs[xl
絕頂一茅茨	jt[sd dk[dy yi[hh mc[cy ci[cd
絕域蒼茫更何有	jt[sd yu[tg ch[cr mh[cd gg[ho he[rk yz[uo
決眥入歸鳥	jt[dv zi[mv ru[pd gv[ux nn[nh
君不見	jy[xk bu[eu jm[ke
君不見沙場征戰苦	jy[xk bu[eu jm[ke ua[dx ih[tv vg[rh vj[bg ku[cg
君不見走馬川行雪海邊	jy[xk bu[eu jm[ke zz[tv ma[vv ir[pu xk[rh xt[yx hd[dr bm[lz
君不聞	jy[xk bu[eu wf[me
君臣相顧盡沾衣	jy[xk if[ku xl[am gu[iy jb[ud vj[db yi[wy
君臣已與時際會	jy[xk if[ku yi[kv yu[hv ui[oc ji[ee hv[re
君寵益嬌態	jy[xk is[gy yi[bm jn[np td[dx
君歌且休聽我歌	jy[xk ge[kd qp[ke xq[ra tk[kj wo[pf ge[kd
君歌聲酸辭且苦	jy[xk ge[kd ug[um sr[ys ci[ql qp[ke ku[cg
君家何處住	jy[xk jx[gu he[rk iu[wb vu[rd
君今在羅網	jy[xk jb[rd zd[ut lo[sx wh[ki
君憐無是非	jy[xk lm[xr wu[ee ui[op fw[su
君莫停	jy[xk mo[co tk[rw
君王掩面救不得	jy[xk wh[su yj[fd mm[ew jq[hw bu[eu de[ro
君問窮通理	jy[xk wf[mk qs[xl ts[sz li[wo
君言不得意	jy[xk yj[we bu[eu de[ro yi[lx
郡邑浮前浦	jy[xe yi[kb fu[da qm[bo pu[df
郡齋雨中與諸文士燕集	jy[xe vd[we yu[hk vs[ku yu[hv vu[yt wf[wi ui[uh yj[nk ji[va
君自故鄉來	jy[xk zi[pm gu[gw xl[sp ld[hm
君子意如何	jy[xk zi[lh yi[lx ru[nk he[rk
開國何茫然	kd[hc go[ww he[rk mh[cd rj[xd
開帷月初吐	kd[hc ww[jv yt[ke iu[yd tu[kt
開軒覽物華	kd[hc xr[ig lj[uj wu[nb hx[ru
開軒面場圃	kd[hc xr[ig mm[ew ih[tv pu[wf
開軒臥閒敞	kd[hc xr[ig wo[kb xm[ma ih[xw
開元二十六年	kd[hc yr[ee er[hh ui[hu lq[wb nm[rn
開元三載	kd[hc yr[ee sj[hh zd[ti
開元之中常引見	kd[hc yr[ee vi[dv vs[ku ih[xk yb[gu jm[ke
坎軻只得移荊蠻	kj[td ke[ik vi[kb de[ro yi[hx jk[cd mj[yi
客從東方來	ke[gw cs[rr ds[qx fh[dw ld[hm
可憐光彩生門戶	ke[dk lm[xr gl[xe cd[ap ug[pf mf[du hu[du
可憐閨裡月	ke[dk lm[xr gv[mt li[ot yt[ke
可憐九馬爭神駿	ke[dk lm[xr jq[pv ma[vv vg[dx uf[uo jy[ms
可憐王孫泣路隅	ke[dk lm[xr wh[su sy[zx qi[dl lu[zw yu[eo
客路青山外	ke[gw lu[zw qk[fo uj[uk wd[xb
客去波平檻	ke[gw qu[ts bo[dp pk[hb kj[au
柯如青銅根如石	ke[ak ru[nk qk[fo ts[jk gf[ag ru[nk ui[ek
客心洗流水	ke[gw xb[dv xi[dn lq[dw uv[uu
可以橫絕峨眉巔	ke[dk yi[sr hg[ag jt[sd ee[up mw[mm dm[uu
可以薦嘉客	ke[dk yi[sr jm[cu jx[ul ke[gw
客有從御史大夫張公出塞而還者	ke[gw yz[uo cs[rr yu[rw ui[ki da[hr fu[er vh[gi gs[bs iu[ck sd[gt er[ek hd[bz ve[to
客至	ke[gw vi[ht
肯數鄴下黃鬚兒	kf[vo uu[mw ye[ye xx[hb hl[gy xu[py er[pv
肯與鄰翁相對飲	kf[vo yu[hv lb[re wg[bx xl[am dv[yc yb[ud
空城澹月華	ks[xg ig[tw dj[dd yt[ke hx[ru
恐非平生魂	ks[gx fw[su pk[hb ug[pf hy[eg
空見葡萄入漢家	ks[xg jm[ke pu[cb tc[cb ru[pd hj[dy jx[gu
空令歲月易蹉跎	ks[xg lk[rd sv[ux yt[ke yi[ob co[zy to[zg
孔明廟前有老柏	ks[zv mk[oo mn[gy qm[bo yz[uo lc[tb bd[ab
空山百鳥散還合	ks[xg uj[uk bd[eo nn[nh sj[gw hd[bz he[rh
空山不見人	ks[xg uj[uk bu[eu jm[ke rf[pd
空山松子落	ks[xg uj[uk ss[ab zi[lh lo[cd
空山新雨後	ks[xg uj[uk xb[lj yu[hk hz[pk
恐是漢代韓張良	ks[gx ui[op hj[dy dd[rq hj[uw vh[gi ll[dg
空向秋波哭逝川	ks[xg xl[pk qq[hh bo[dp ku[kq ui[fz ir[pu
空憶謝將軍	ks[xg yi[xv xp[yu jl[dx jy[gi
空有羨魚情	ks[xg yz[uo xm[bd yu[dt qk[xf
空園白露滴	ks[xg yr[we bd[po lu[yz di[dl
空知返舊林	ks[xg vi[uk fj[pz jq[uo lb[aa
空中聞天雞	ks[xg vs[ku wf[me tm[hd ji[yn
孔子西行不到秦	ks[zv zi[lh xi[hk xk[rh bu[eu dc[hd qb[sh
扣關無僮僕	kz[fk gr[bt wu[ee ts[rl pu[rb
口角流沫右手胝	kz[uv jt[do lq[dw mo[dh yz[uk uz[su vi[ou
扣門無犬吠	kz[fk mf[du wu[ee qr[dd fw[kq
苦道來不易	ku[cg dc[bz ld[hm bu[eu yi[ob
苦恨年年壓金線	ku[cg hf[xg nm[rn nm[rn ya[it jb[rw xm[sj
枯桑老柏寒颼飀	ku[ag sh[ya lc[tb bd[ab hj[gd sz[fj lq[[
哭聲直上幹雲霄	ku[kq ug[um vi[uj uh[bh gj[hu yy[es xn[yx
枯松倒掛倚絕壁	ku[ag ss[ab dc[rh gx[ft yi[rd jt[sd bi[ut
苦心豈免容螻蟻	ku[cg xb[dv qi[uk mm[dk rs[xr lz[im yi[id
跨馬出郊時極目	kx[zd ma[vv iu[ck jn[le ui[oc ji[aj mu[we
快劍砍斷生蛟鼉	kk[xv jm[rd kj[ed dr[mj ug[pf jn[il to[kk
狂夫富貴在青春	kl[qw fu[er fu[gh gv[vb zd[ut qk[fo iy[so
況復秦兵耐苦戰	kl[dk fu[ro qb[sh bk[qb nd[ec ku[cg vj[bg
狂歌五柳前	kl[qw ge[kd wu[hu lq[ap qm[bo
況乃未休兵	kl[dk nd[vp ww[ha xq[ra bk[qb
況是蔡家親	kl[dk ui[op cd[cx jx[gu qb[la
況餘白首	kl[dk yu[re bd[po uz[be
愧君相訪頻	kv[xg jy[xk xl[am fh[yf pb[vy
愧君猶遣慎風波	kv[xg jy[xk yz[qy qm[vz uf[xu fg[ji bo[dp
窺室惟案几	kv[xe ui[gh ww[xv an[ga ji[pv
蠟炬成灰淚始幹	la[ig ju[hk ig[wv hv[uh lw[dm ui[ns gj[hu
蠟照半籠金翡翠	la[ig vc[od bj[bf ls[vy jb[rw fw[fx cv[xw
來從楚國遊	ld[hm cs[rr iu[ap go[ww yz[df
來對白頭吟	ld[hm dv[yc bd[po tz[dd yb[kr
來去九江側	ld[hm qu[ts jq[pv jl[dg ce[rb
來日綺窗前	ld[hm ri[wh qi[sd il[xp qm[bo
來如雷霆收震怒	ld[hm ru[nk lw[yt tk[yq uz[vw vf[yi nu[nx
來是空言去絕蹤	ld[hm ui[op ks[xg yj[we qu[ts jt[sd zs[zg
來途若夢行	ld[hm tu[rz ro[cu mg[ax xk[rh
來往不逢人	ld[hm wh[rd bu[eu fg[wz rf[pd
來舞魏宮前	ld[hm wu[rx ww[hg gs[gk qm[bo
賴茲託令門	ld[hd zi[by to[fp lk[rd mf[du
藍田日暖玉生煙	lj[cu tm[wu ri[wh nr[oa yu[wd ug[pf yj[hw
蘭葉春葳蕤	lj[bs ye[ku iy[so ww[cw rv[cu
攬衣推枕起徘徊	lj[fu yi[wy tv[fv vf[ag qi[zk pd[rf hk[rw
郎騎竹馬來	lh[le qi[md vu[rr ma[vv ld[hm
老病有孤舟	lc[tb bk[bh yz[uo gu[zp vz[pk
老大嫁作商人婦	lc[tb da[hr jx[ng zo[rv uh[lk rf[pd fu[nx
老夫不知其所往	lc[tb fu[er bu[eu vi[uk qi[cb so[pj wh[rd
老將行	lc[tb jl[dx xk[rh
老去戀明時	lc[tb qu[ts lm[yx mk[oo ui[oc
老至居人下	lc[tb vi[ht ju[ug rf[pd xx[hb
樂極哀來月東出	le[px ji[aj ai[wk ld[hm yt[ke ds[qx iu[ck
樂幽心屢止	le[px yz[yy xb[dv lv[um vi[uh
樂遊原上望昭陵	le[px yz[df yr[ib uh[bh wh[ww vc[od lk[et
雷鼓動山川	lw[yt gu[uu ds[el uj[uk ir[pu
淚溼羅巾夢不成	lw[dm ui[do lo[sx jb[ku mg[ax bu[eu ig[wv
李白	li[az bd[po
離杯惜共傳	li[wk bw[ab xi[xg gs[gb ir[re
離別正堪悲	li[wk bp[kd vg[hv kj[tq bw[fx
李端	li[az dr[lu
李端公	li[az dr[lu gs[bs
驪宮高處入青雲	li[mh gs[gk gc[wk iu[wb ru[pd qk[fo yy[es
李廣無功緣數奇	li[az gl[di wu[ee gs[gl yr[sv uu[mw qi[dk
梨花滿地不開門	li[ha hx[cr mj[dc di[ty bu[eu kd[hc mf[du
梨花一枝春帶雨	li[ha hx[cr yi[hh vi[au iy[so dd[cj yu[hk
理會是非遣	li[wo hv[re ui[op fw[su qm[vz
力盡關山未解圍	li[vp jb[ud gr[bt uj[uk ww[ha jp[dd ww[ww
離離原上草	li[wk li[wk yr[ib uh[bh cc[co
李頻	li[az pb[vy
李頎	li[az qi[jy
麗人行	li[hk rf[pd xk[rh
李商隱	li[az uh[lk yb[ed
吏舍局終年	li[hk ue[rg ju[uv vs[sw nm[rn
慄深林兮驚層巔	li[xa uf[dg lb[aa xi[bk jk[xw cg[ue dm[uu
李斯稅駕苦不早	li[az si[qj uv[hb jx[lm ku[cg bu[eu zc[ou
李益	li[az yi[bm
梨園子弟白髮新	li[ha yr[we zi[lh di[bg bd[po fa[vy xb[lj
梨園子弟散如煙	li[ha yr[we zi[lh di[bg sj[gw ru[nk yj[hw
利洲南渡	li[hd vz[dd nj[uk du[dg
聯步趨丹陛	lm[eb bu[vu qu[zd dj[kw bi[eb
蓮動下漁舟	lm[ci ds[el xx[hb yu[dy vz[pk
連峰去天不盈尺	lm[iz fg[uw qu[ts tm[hd bu[eu yk[nm ii[ud
憐君何事到天涯	lm[xr jy[xk he[rk ui[hk dc[hd tm[hd ya[di
連山接海隅	lm[iz uj[uk jp[fl hd[dr yu[eo
連山若波濤	lm[iz uj[uk ro[cu bo[dp tc[df
簾外春寒賜錦袍	lm[xj wd[xb iy[so hj[gd ci[bo jb[jb pc[yb
兩岸桃花夾古津	ll[hk an[ui tc[av hx[cr jx[hb gu[uk jb[dy
兩岸猿聲啼不住	ll[hk an[ui yr[qt ug[um ti[kl bu[eu vu[rd
兩別泣不休	ll[hk bp[kd qi[dl bu[eu xq[ra
兩朝開濟老臣心	ll[hk ic[uo kd[hc ji[dw lc[tb if[ku xb[dv
兩處茫茫皆不見	ll[hk iu[wb mh[cd mh[cd jp[bb bu[eu jm[ke
涼風起天末	ll[dw fg[ji qi[zk tm[hd mo[ha
梁父吟成恨有餘	ll[da fu[bi yb[kr ig[wv hf[xg yz[uo yu[ur
良人罷遠征	ll[dg rf[pd ba[st yr[ez vg[rh
良人玉勒乘驄馬	ll[dg rf[pd yu[wd le[gl ig[qb cs[mp ma[vv
良人昨夜情	ll[dg rf[pd zo[ov ye[wr qk[xf
兩三星火是瓜州	ll[hk sj[hh xk[op ho[dp ui[op gx[ps vz[dp
涼思	ll[dw si[tx
良相頭上進賢冠	ll[dg xl[am tz[dd uh[bh jb[ez xm[ub gr[ge
兩小無嫌猜	ll[hk xn[ub wu[ee xm[nb cd[qf
涼州詞	ll[dw vz[dp ci[yv
涼州胡人為我吹	ll[dw vz[dp hu[go rf[pd ww[dl wo[pf iv[kd
聊持寶劍動星文	ln[ep ii[ft bc[gw jm[rd ds[el xk[op wf[wi
潦倒新停濁酒杯	ln[dd dc[rh xb[lj tk[rw vo[di jq[dy bw[ab
遼東小婦年十五	ln[lz ds[qx xn[ub fu[nx nm[rn ui[hu wu[hu
寥落古行宮	ln[gx lo[cd gu[uk xk[rh gs[gk
寥落寒山對虛牖	ln[gx lo[cd hj[gd uj[uk dv[yc xu[hy yz[ph
聊書所懷	ln[ep uu[vv so[pj hk[xb
聊為劍器行	ln[ep ww[dl jm[rd qi[kq xk[rh
料知短兵不敢接	ln[md vi[uk dr[ud bk[qb bu[eu gj[vw jp[fl
列郡謳歌惜	lp[hd jy[xe ou[yk ge[kd xi[xg
烈女操	lp[hd nv[vp cc[fk
裂缺霹靂	lp[hy qt[pv pi[yu li[yi
林暗草驚風	lb[aa an[ol cc[co jk[xw fg[ji
林表明霽色	lb[aa bn[fy mk[oo ji[yw se[db
臨別殷勤重寄詞	lb[uv bp[kd yb[pj qb[nl is[ph ji[gd ci[yv
臨風聽暮蟬	lb[uv fg[ji tk[kj mu[co ij[ib
臨感忽難收	lb[uv gj[wx hu[bx nj[yv uz[vw
林昏瘴不開	lb[aa hy[uo vh[bl bu[eu kd[hc
臨邛道士鴻都客	lb[uv qs[ge dc[bz ui[uh hs[dn dz[te ke[gw
林臥愁春盡	lb[aa wo[kb iz[hx iy[so jb[ud
臨行密密縫	lb[uv xk[rh mi[gu mi[gu fg[sw
臨潁美人在白帝	lb[uv yk[by mw[bw rf[pd zd[ut bd[po di[lj
林月低向後	lb[aa yt[ke di[ru xl[pk hz[pk
令彼征斂者	lk[rd bi[rp vg[rh lm[rw ve[to
零淚緣纓流	lk[yr lw[dm yr[sv yk[sb lq[dw
泠泠七絃上	lk[dr lk[dr qi[hv xm[gw uh[bh
玲瓏望秋月	lk[wr ls[wy wh[ww qq[hh yt[ke
零落依草木	lk[yr lo[cd yi[ry cc[co mu[ub
嶺樹重遮千里目	lk[ur uu[ay vs[ph ve[gz qm[pu li[ot mu[we
嶺外音書絕	lk[ur wd[xb yb[lo uu[vv jt[sd
凌煙功臣少顏色	lk[dt yj[hw gs[gl if[ku uc[xp yj[ly se[db
嶺猿同旦暮	lk[ur yr[qt ts[kh dj[oh mu[co
柳邊人歇待船歸	lq[ap bm[lz rf[pd xp[od dd[rt ir[vj gv[ux
留別王侍御維	lq[pt bp[kd wh[su ui[rt yu[rw ww[sv
劉常卿	lq[wd ih[xk qk[pg
劉長卿	lq[wd ih[ph qk[pg
流傳漢地曲轉奇	lq[dw ir[re hj[dy di[ty qu[ou vr[ie qi[dk
劉方平	lq[wd fh[dw pk[hb
柳拂旌旗露未乾	lq[ap fu[ff jk[fr qi[fr lu[yz ww[ha gj[hu
六宮粉黛無顏色	lq[wb gs[gk ff[mf dd[rh wu[ee yj[ly se[db
劉脊虛	lq[wd ji[uo xu[hy
六軍不發無奈何	lq[wb jy[gi bu[eu fa[vy wu[ee nd[de he[rk
劉郎已恨蓬山遠	lq[wd lh[le yi[kv hf[xg pg[cw uj[uk yr[ez
瀏漓頓挫	lq[dw li[dw dy[ty co[fr
流落徵南將	lq[dw lo[cd vg[rh nj[uk jl[dx
六年西顧空吟哦	lq[wb nm[rn xi[hk gu[iy ks[xg yb[kr ee[kp
流水如有意	lq[dw uv[uu ru[nk yz[uo yi[lx
流水十年間	lq[dw uv[uu ui[hu nm[rn jm[mo
劉禹錫	lq[wd yu[pk xi[jo
柳中庸	lq[ap vs[ku ys[gx
柳宗元	lq[ap zs[ge yr[ee
留醉與山翁	lq[pt zv[yw yu[hv uj[uk wg[bx
龍池柳色雨中深	ls[yp ii[dy lq[ap se[db yu[hk vs[ku uf[dg
龍池十日飛霹靂	ls[yp ii[dy ui[hu ri[wh fw[vp pi[yu li[yi
龍媒去盡鳥呼風	ls[yp mw[ng qu[ts jb[ud nn[nh hu[kp fg[ji
隴上羊歸塞草煙	ls[ey uh[bh yh[bs gv[ux sd[gt cc[co yj[hw
龍吟虎嘯一時發	ls[yp yb[kr hu[hj xn[kx yi[hh ui[oc fa[vy
龍種自與常人殊	ls[yp vs[hv zi[pm yu[hv ih[xk rf[pd uu[hp
樓閣玲瓏五雲起	lz[am ge[mw lk[wr ls[wy wu[hu yy[es qi[zk
陋儒編詩不收入	lz[eh ru[ry bm[sh ui[yt bu[eu uz[vw ru[pd
樓上花枝笑獨眠	lz[am uh[bh hx[cr vi[au xn[vp du[qi mm[mm
露草覆寒蟲	lu[yz cc[co fu[xr hj[gd is[ks
路出寒雲外	lu[zw iu[ck hj[gd yy[es wd[xb
露從今夜白	lu[yz cs[rr jb[rd ye[wr bd[po
陸機雄才豈自保	lu[ef ji[aj xs[uv cd[hu qi[uk zi[pm bc[rk
盧家少婦鬱金香	lu[bu jx[gu uc[xp fu[nx yu[ue jb[rw xl[ho
盧綸	lu[bu ly[sr
鹿門月照開煙樹	lu[gb mf[du yt[ke vc[od kd[hc yj[hw uu[ay
路旁時賣故侯瓜	lu[zw ph[lf ui[oc md[ud gu[gw hz[rv gx[ps
虜騎崩騰畏蒺藜	lu[hl qi[md bg[uo tg[ob ww[th ji[cb li[ch
露氣寒光集	lu[yz qi[rh hj[gd gl[xe ji[va
虜騎聞之應膽懾	lu[hl qi[md wf[me vi[dv yk[gx dj[oo ue[xe
虜塞兵氣連雲屯	lu[hl sd[gt bk[qb qi[rh lm[iz yy[es ty[hk
廬山秀出南鬥傍	lu[gh uj[uk xq[hn iu[ck nj[uk dz[du bh[rl
廬山謠寄盧侍御虛舟	lu[gh uj[uk yc[ya ji[gd lu[bu ui[rt yu[rw xu[hy vz[pk
淥水盪漾清猿啼	lu[dx uv[uu dh[cd yh[db qk[df yr[qt ti[kl
路遠不可測	lu[zw yr[ez bu[eu ke[dk ce[db
露重飛難進	lu[yz vs[ph fw[vp nj[yv jb[ez
鸞刀縷切空紛綸	lr[yn dc[vp lv[sm qp[qd ks[xg ff[sf ly[sr
亂山殘雪夜	lr[qv uj[uk cj[hj xt[yx ye[wr
亂我心者	lr[qv wo[pf xb[dv ve[to
鸞翔鳳翥眾仙下	lr[yn xl[yx fg[jy vu[tx vs[rr xm[ru xx[hb
鑾輿迥出千門柳	lr[yj yu[pb js[kz iu[ck qm[pu mf[du lq[ap
論功還欲請長纓	ly[yr gs[gl hd[bz yu[bd qk[yf ih[ph yk[sb
輪臺城北旄頭落	ly[ir td[sk ig[tw bw[ub mc[fr tz[dd lo[cd
輪臺城頭夜吹角	ly[ir td[sk ig[tw tz[dd ye[wr iv[kd jn[do
輪臺東門送君去	ly[ir td[sk ds[qx mf[du ss[bz jy[xk qu[ts
輪臺歌奉送封大夫出師西征	ly[ir td[sk ge[kd fg[sf ss[bz fg[tc dd[hr fu[er iu[ck ui[uh xi[hk vg[rh
輪臺九月風夜吼	ly[ir td[sk jq[pv yt[ke fg[ji ye[wr hz[kz
駱賓王	lo[mw bb[gq wh[su
落帆逗淮鎮	lo[cd fj[jj dz[dz hk[dv vf[ju
落花	lo[cd hx[cr
落花時節又逢君	lo[cd hx[cr ui[oc jp[ce yz[vd fg[wz jy[xk
落落盤踞雖得地	lo[cd lo[cd pj[vm ju[zu sv[ki de[ro di[ty
落日故人情	lo[cd ri[wh gu[gw rf[pd qk[xf
落日滿秋山	lo[cd ri[wh mj[dc qq[hh uj[uk
落日五湖春	lo[cd ri[wh wu[hu hu[dg iy[so
邏娑沙塵哀怨生	lo[sz so[dn ua[dx if[xt ai[wk yr[xx ug[pf
絡緯秋啼金井闌	lo[sw ww[sw qq[hh ti[kl jb[rw jk[ep lj[mh
羅帷送上七香車	lo[sx ww[jv ss[bz uh[bh qi[hv xl[ho ie[qu
洛陽行子空嘆息	lo[dw yh[eo hh[rh zi[lh ks[xg tj[ky xi[zx
洛陽女兒對門居	lo[dw yh[eo nv[vp er[pv dv[yc mf[du ju[ug
洛陽女兒行	lo[dw yh[eo nv[vp er[pv xk[rh
洛陽親友如相問	lo[dw yh[eo qb[la yz[uy ru[nk xl[am wf[mk
落葉滿階紅不掃	lo[cd ye[ku mj[dc jp[er hs[sg bu[eu sc[fx
落葉滿空山	lo[cd ye[ku mj[dc ks[xg uj[uk
落葉秋風早	lo[cd ye[ku qq[hh fg[ji zc[ou
落葉人何在	lo[cd ye[ku rf[pd he[rk zd[ut
落葉他鄉樹	lo[cd ye[ku ta[ry xl[sp uu[ay
落葉添薪仰古槐	lo[cd ye[ku tm[dt xb[cl yh[rp gu[uk hk[ag
羅衣欲換更添香	lo[sx yi[wy yu[bd hr[fd gg[ho tm[dt xl[ho
落月滿屋樑	lo[cd yt[ke mj[dc wu[uh ll[da
旅館無良伴	lv[fr gr[ug wu[ee ll[dg bj[rb
屢貌尋常行路人	lv[um mc[pb xy[xc ih[xk xk[rh lu[zw rf[pd
綠樹村邊合	lv[sx uu[ay cy[ac bm[lz he[rh
旅宿	lv[fr su[gr
旅夜書懷	lv[fr ye[wr uu[vv hk[xb
綠蟻新醅酒	lv[sx yi[id xb[lj pw[yl jq[dy
綠竹入幽徑	lv[sx vu[rr ru[pd yz[yy jk[rs
馬戴	ma[vv dd[tt
馬官廝養森成列	ma[vv gr[gu si[iq yh[yp sf[aa ig[wv lp[hd
馬毛帶雪汗氣蒸	ma[vv mc[sv dd[cj xt[yx hj[dg qi[rh vg[cl
馬上相逢無紙筆	ma[vv uh[bh xl[am fg[wz wu[ee vi[su bi[vm
馬嵬坡下泥土中	ma[vv ww[ug po[tp xx[hb ni[du tu[uh vs[ku
馬蕭蕭	ma[vv xn[cx xn[cx
馬邑龍堆路幾千	ma[vv yi[kb ls[yp dv[tv lu[zw ji[pv qm[pu
漫卷詩書喜欲狂	mj[do jr[be ui[yt uu[vv xi[uk yu[bd kl[qw
漫叟以公田米釀酒	mj[do sz[jy yi[sr gs[bs tm[wu mi[ba nl[yl jq[dy
滿座重聞皆掩泣	mj[dc zo[gr vs[ph wf[me jp[bb yj[fd qi[dl
茫茫江漢上	mh[cd mh[cd jl[dg hj[dy uh[bh
茂陵不見封侯印	mc[cw lk[et bu[eu jm[ke fg[tc hz[rv yb[pe
茅亭宿花影	mc[cy tk[wd su[gr hx[cr yk[op
茅屋訪孤僧	mc[cy wu[uh fh[yf gu[zp sg[rb
沒蕃故人	mw[dj fj[cp gu[gw rf[pd
每逢佳節倍思親	mw[rm fg[wz jx[rt jp[ce bw[rl si[tx qb[la
美服患人指	mw[bw fu[oe hr[kx rf[pd vi[fb
美酒聊共揮	mw[bw jq[dy ln[ep gs[gb hv[fg
美酒一杯聲一曲	mw[bw jq[dy yi[hh bw[ab ug[um yi[hh qu[ou
梅柳渡江春	mw[ar lq[ap du[dg jl[dg iy[so
美人胡為隔秋水	mw[bw rf[pd hu[go ww[dl ge[eh qq[hh uv[uu
